STORE NAME,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,,,,,,
PAULINA MARKET,LAKE VIEW,6,32,,,,,,
CARNICERIA GUANJUATO #3,WEST TOWN,24,1,,,,,,
PETE'S FRESH MARKET,HEGEWISCH,55,10,,,,,,
WHOLE FOODS MARKET,FOREST GLEN,12,39,,,,,,
E.M. GROCERIES,NEW CITY,61,16,,,,,,
SAVE-A-LOT #860,WEST LAWN,65,13,,,,,,
"LATIN GROCERY & LIQUOR, INC",HUMBOLDT PARK,23,30,,,,,,
ATHENS GROCERY,NEAR WEST SIDE,28,27,,,,,,
JEWEL FOOD STORE #3092,SOUTH DEERING,51,7,,,,,,
M & J LIQUOR & GROCERY,ALBANY PARK,14,39,,,,,,
THRIFTY FOOD,UPTOWN,3,46,,,,,,
DOMINICK'S # 1100,MCKINLEY PARK,59,11,,,,,,
SAVE-A-LOT # 854,AUBURN GRESHAM,71,17,,,,,,
"CARNICERIA LA GLORIA NO. 2, INC.",GAGE PARK,63,14,,,,,,
DOMINICK'S # 113/1113,NORWOOD PARK,10,41,,,,,,
STRACK & VAN TIL,LOGAN SQUARE,22,1,,,,,,
CORCORANS PANTRY INC,EDGEWATER,77,48,,,,,,
JEWEL FOOD STORE #3477,OHARE,76,36,,,,,,
SUPERMERCADO EL GUERO NO. 8,LOWER WEST SIDE,31,25,,,,,,
3600 COMMISSARY,LAKE VIEW,6,46,,,,,,
LA CIENEGA SUPER FOOD INC,EAST SIDE,52,10,,,,,,
"MORELIA SUPERMARKET #2, INC.",BELMONT CRAGIN,19,31,,,,,,
BURNHAM PLAZA MART,LOOP,32,2,,,,,,
INTERNATIONAL FOODS NW INC,HERMOSA,20,31,,,,,,
MICHAELS FRESH MARKET,KENWOOD,39,4,,,,,,
M & D VARIETY STORE,MORGAN PARK,75,34,,,,,,
JEWEL FOOD STORE #3344,NEAR WEST SIDE,28,2,,,,,,
Three Stars Liquors,WEST GARFIELD PARK,26,28,,,,,,
79 FOOD BASKET,AUBURN GRESHAM,71,21,,,,,,
JEWEL-OSCO #3632,LAKE VIEW,6,44,,,,,,
