STORE NAME,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,,,,,,
EUROPA GALLERIA INC,NEAR NORTH SIDE,8,42,,,,,,
PERSONAL LIQUORS INC,WEST GARFIELD PARK,26,28,,,,,,
SAVE-A-LOT   #856,AUSTIN,25,37,,,,,,
GILMART'S  FOOD & LIQUOR,ARCHER HEIGHTS,57,14,,,,,,
ANAR INC,CHATHAM,44,8,,,,,,
CLYBOURN MARKET,NORTH CENTER,5,1,,,,,,
SERRELLI'S FOODS,AUSTIN,25,36,,,,,,
FOOD 4 LESS,CHATHAM,44,21,,,,,,
DOMINICK'S #153/2153,NEAR NORTH SIDE,8,27,,,,,,
SUPER JIM'S,AUSTIN,25,37,,,,,,
ALDI FOODS -STORE #04,HUMBOLDT PARK,23,27,,,,,,
A & G LIQUORS,GREATER GRAND CROSSING,69,6,,,,,,
BUSY BEE SUPERMARKET,WEST ENGLEWOOD,67,16,,,,,,
LUCIANO'S GROCERY-18TH ST,LOWER WEST SIDE,31,25,,,,,,
CRESPO'S FOOD MART,WEST GARFIELD PARK,26,28,,,,,,
ARMITAGE PRODUCE INC,LOGAN SQUARE,22,35,,,,,,
RODRIGUEZ FRUITS & VEGETABLE,SOUTH LAWNDALE,30,22,,,,,,
JEWEL FOOD STORE #3368,NEAR NORTH SIDE,8,42,,,,,,
JEWEL FOOD STORE #3721,GARFIELD RIDGE,56,23,,,,,,
SUPERMERCADO LA CHIQUTIA # 4,SOUTH LAWNDALE,30,22,,,,,,
INTERNATIONAL SUPERMARKET INC,NEW CITY,61,3,,,,,,
WEST LAWN FOODS,WEST ELSDON,62,13,,,,,,
"LA NUEVA IMAGEN GROCERY, INC.",SOUTH LAWNDALE,30,22,,,,,,
S & T PROVISION CO INC,MOUNT GREENWOOD,74,19,,,,,,
PARKSHORE MARKET LTD,LOOP,32,42,,,,,,
CARNICERIA GUANAJUATO,BELMONT CRAGIN,19,31,,,,,,
JARDAN FOOD & LIQUOR,WASHINGTON PARK,40,3,,,,,,
LOS CUATRO HERMANOS GROCERY,LOWER WEST SIDE,31,25,,,,,,
EDDY'S FOOD MART,ROGERS PARK,1,49,,,,,,
MAYFAIR MARKET PLACE,,14,39,,,,,,
The Unit,SOUTH SHORE,43,7,,,,,,
MOROLEON FOODS #2 INC.,BRIGHTON PARK,58,12,,,,Contains Austin,,14
SUPERMERCADO GUERRERO,SOUTH LAWNDALE,30,24,,,,,,
STOP & GO FOOD MART,MORGAN PARK,75,34,,,,,,
ALDI INC #92,ENGLEWOOD,68,16,,,,,,
FIRST CHOICE MARKET,SOUTH CHICAGO,46,10,,,,,,
KORDIAN'S MARKET,JEFFERSON PARK,11,45,,,,,,
"DOMINICK'S Finer Foods, Inc. #1695",LINCOLN PARK,7,43,,,,,,
ALDI INC #06,ALBANY PARK,14,39,,,,,,
ALL STAR FOOD & LIQUOR,BRIDGEPORT,60,11,,,,,,
SHOP WISE FOOD,ROSELAND,49,9,,,,,,
"H & A FOOD MARKET, INC.",ENGLEWOOD,68,16,,,,,,
GEMELOS FOOD/ CHECK CASHING SERVICES,BRIGHTON PARK,58,14,,,,,,
ALDI #32,LINCOLN PARK,7,32,,,,,,
SUPERIOR NUT & CANDY  CO.I INC.,NEW CITY,61,11,,,,,,
LA PERLA TAPATIA BAKERY,HUMBOLDT PARK,23,30,,,,,,
"RIO GRANDE FRUIT MARKET, INC.",HUMBOLDT PARK,23,26,,,,,,
MIARA'S CONT'L PASTRY DELI INC,DUNNING,17,36,,,,,,
J AND P FINER FOODS,IRVING PARK,16,33,,,,,,
NEIL'S FOOD,AUBURN GRESHAM,71,17,,,,,,
CHICAGO FOOD CORP,NORTH PARK,13,39,,,,,,
JEWEL FOOD STORE #3443,EDGEWATER,77,48,,,,,,
JEWEL FOOD STORE #3470,AVONDALE,21,35,,,,,,
5659 W. DIVERSEY,BELMONT CRAGIN,19,30,,,,,,
MACIAS PRODUCE INC.,SOUTH CHICAGO,46,10,,,,,,
DILILAH GROCERY,LOWER WEST SIDE,31,25,,,,,,
DOMINICK'S # 304/2304,LINCOLN PARK,7,32,,,,,,
OUTLET KINGDOM,BRIDGEPORT,60,11,,,,,,
LA INTERNATIONAL,BRIGHTON PARK,58,14,,,,,,
PETE'S PRODUCE,AUBURN GRESHAM,71,21,,,,,,
"CALMA OPTIMAL DELI, INC.",PORTAGE PARK,15,38,,,,,,
HARBOR MARKET,LOOP,32,42,,,,,,
"SWEQI FOOD MART, INC.",HUMBOLDT PARK,23,30,,,,,,
WALLY'S MARKET INC,DUNNING,17,38,,,,,,
SAVEWAY FOOD,GRAND BOULEVARD,38,3,,,,,,
CARNICERIA&FRUTERIA EL MITOTE,HERMOSA,20,31,,,,,,
LEMEN SUN CORP.,ARMOUR SQUARE,34,11,,,,,,
SUPER DOLLAR DISCOUNT,NEW CITY,61,20,,,,,,
SAVE-A-LOT  #862,KENWOOD,39,4,,,,,,
TREASURE ISLAND FOODS,LINCOLN PARK,7,43,,,,,,
"OGIES FOOD, INC",CHICAGO LAWN,66,15,,,,,,
SUPERMERCADO EL GUERO #10 INC,BRIGHTON PARK,58,12,,,,,,
TRADER JOE'S,NORTH CENTER,5,47,,,,,,
DOMINICK'S,WEST RIDGE,2,50,,,,,,
ALDI'S #08,GREATER GRAND CROSSING,69,6,,,,,,
ALDI,EDGEWATER,77,49,,,,,,
FAIRPLAY FOODS INC,MORGAN PARK,75,19,,,,,,
HILLTOP LIQUORS MART,ROSELAND,49,9,,,,,,
BIG APPLE FINER FOODS INC,LINCOLN PARK,7,43,,,,,,
AVENUE FOOD MAR INC,DUNNING,17,36,,,,,,
FRESH FARMS INTERNATIONAL,WEST RIDGE,2,50,,,,,,
LAKE VIEW FOODS INC,UPTOWN,3,46,,,,,,
THE CELLAR,DUNNING,17,36,,,,,,
MARIANO'S FRESH MARKET #8507,JEFFERSON PARK,11,45,,,,,,
RAINBOW GROCERY,WEST ENGLEWOOD,67,17,,,,,,
"CARNICERIA LA HACIENDA, INC.",CHICAGO LAWN,66,16,,,,,,
CICERO DELI INC.,PORTAGE PARK,15,30,,,,,,
K BUENA,WEST LAWN,65,13,,,,,,
JEWEL FOOD STORE #3210,NEAR NORTH SIDE,8,42,,,,,,
NANCY FOODS INC,WEST PULLMAN,53,9,,,,,,
WINDY CITY INC,AUSTIN,25,24,,,,,,
ONE STOP FOOD & LIQUOR STORE,KENWOOD,39,4,,,,,,
D & A FOOD & LIQUOR,WEST ENGLEWOOD,67,15,,,,,,
ULTRA FOODS,ASHBURN,70,18,,,,,,
PETE'S FRESH SUPERMARKET,SOUTH LAWNDALE,30,28,,,,,,
CARNICERIA GUANAJUATO #3,AVONDALE,21,33,,,,,,
MINI MERCADO LA BETANIA,SOUTH LAWNDALE,30,22,,,,,,
JERUSALEM LIQUORS,ALBANY PARK,14,33,,,,,,
WALGREENS # 05192,SOUTH CHICAGO,46,7,,,,,,
JEWEL FOOD STORE #3114,MOUNT GREENWOOD,74,19,,,,,,
WALGREENS #11410,HUMBOLDT PARK,23,30,,,,,,
TIERRA CALIENTE MARKET,WEST TOWN,24,1,,,,,,
QUALITY FOOD ON 71 ST INC,CHICAGO LAWN,66,18,,,,,,
JEWEL FOOD STORE #3302,MCKINLEY PARK,59,11,,,,,,
CERMAK PRODUCE,SOUTH LAWNDALE,30,22,,,,,,
