Chicago Community Areas,Population,Square Milage,Percentage Non-Hispanic White 2012-2016,Percentage Non-Hispanic African American or Black (2012-2016),Percentage Hispanic or Latino ,Percentage of Non-Hispanic African American or Black + Hispanic or Latino,Percentage Non-Hispanic Asian or Pacific Islander (2012-2016),Median Income,Unemployment Rate ,Food Stamps - Rate,Rate Limited food access,Percent with Easy Access to Food - 2016-18,Percent of Households with food insecurity,Number of Grocery Stores,Rate Household emergency food use ,Diabetes Rate,Average Annual Diabetes Related Deaths,Average Annual Diet-Related Deaths (2013-2017),Adult Obesity Percentage ,2
35-Douglas,"18,238.00",1.67,11.50,70.30,3.20,73.50,12.90,"29,185.00",16.00,27.90,8.40,45.70,,2.00,,3.80,13.00,92.00,24.70,
36-Oakland,"5,918.00",0.60,1.90,91.90,3.70,95.60,1.90,"28,436.00",21.20,44.70,5.20,35.70,,,,,6.00,23.00,44.00,
37-Fuller Park,"2,876.00",0.71,3.50,91.30,5.20,96.50,0.00,"23,357.00",28.60,49.30,57.20,65.40,,1.00,,,3.00,19.00,,
38-Grand Boulevard,"21,929.00",1.73,2.50,93.00,1.60,94.60,0.40,"30,260.00",21.20,36.90,3.80,64.50,,4.00,,5.30,18.00,102.00,45.50,
39-Kenwood,"17,841.00",1.09,17.10,68.50,2.90,71.40,8.40,"39,158.00",12.90,16.90,0.00,68.70,,4.00,,4.90,9.00,65.00,31.60,
40-Washington Park,"11,717.00",1.48,0.40,94.40,1.80,96.20,0.10,"25,390.00",26.70,53.70,0.20,42.30,,3.00,,,6.00,36.00,43.20,
41-Hyde Park,"25,681.00",1.65,47.20,28.70,7.90,36.60,12.20,"45,335.00",6.70,9.30,1.30,75.40,,3.00,,1.70,9.00,58.00,11.90,
42-Woodlawn,"25,983.00",2.07,7.90,84.10,3.00,87.10,3.10,"23,986.00",18.20,40.70,11.60,48.40,,5.00,,10.30,17.00,84.00,50.70,
43-South Shore,"49,767.00",2.99,2.70,93.60,1.70,95.30,0.30,"26,425.00",20.80,39.60,32.00,61.10,,7.00,,12.40,50.00,247.00,31.30,
44-Chatham,"31,028.00",2.92,1.50,96.30,1.00,97.30,0.40,"33,454.00",19.10,34.50,15.00,65.80,,6.00,,12.90,31.00,155.00,39.50,
45-Avalon Park,"10,185.00",1.25,0.40,97.70,0.70,98.40,0.20,"41,531.00",24.20,28.60,5.60,48.00,,3.00,,12.00,10.00,55.00,55.70,
46-South Chicago,"31,198.00",3.34,2.40,75.50,21.00,96.50,0.10,"40,265.00",22.10,39.00,12.20,59.30,,5.00,,15.70,23.00,119.00,43.40,
47-Burnside,"2,916.00",0.62,0.50,99.10,0.00,99.10,0.00,"33,454.00",18.40,35.10,51.40,,,,,,2.00,12.00,,
48-Calumet Heights,"13,812.00",1.77,1.20,94.40,3.50,97.90,0.20,"49,923.00",14.40,19.90,12.00,70.10,,2.00,,15.60,13.00,74.00,31.10,
