Population,Square Milage,Transportation,Percentage White,Percentage Black,Percentage Hispanic or Latino ,Median Income,Percent Below Poverty,Unemployment Rate ,Food Stamps ,Adult Obesity,Diabetes Rate
33355,2.98,17.80,14.90,3.40,80.90,50384.00,14.90,13.40,21.50,29.70,13.00
55628,3.49,24.60,3.60,46.10,48.10,33122.00,27.90,21.90,38.40,41.60,16.80
35505,3.15,37.70,0.80,91.70,6.10,27399.00,34.40,33.60,43.90,50.70,12.10
30654,3.09,45.50,0.80,94.90,2.90,19854.00,46.60,35.30,53.50,40.70,12.40
32602,3.56,42.20,1.30,96.40,1.20,31120.00,29.60,23.90,39.90,40.60,12.00
41081,4.87,15.50,11.70,47.90,37.80,63573.00,10.40,12.80,17.10,36.40,7.20
48743,3.77,33.00,0.60,96.70,1.30,35890.00,27.60,23.60,33.30,42.30,14.00
20032,3.20,22.50,57.80,33.80,5.80,90766.00,5.10,6.60,3.10,32.60,7.20
26493,2.14,24.90,0.60,96.00,1.20,25390.00,16.90,18.60,25.50,31.80,9.20
19093,2.73,8.80,82.70,3.10,11.00,89536.00,3.40,4.40,3.70,17.10,
22544,3.19,16.50,33.50,55.60,8.30,88321.00,13.20,11.20,16.20,40.50,13.20
12756,32.47,14.80,67.80,1.80,18.10,66741.00,15.40,8.00,11.40,25.40,
56521,1.71,53.80,55.20,13.70,16.40,46174.00,18.20,6.90,12.50,24.70,9.80
