Population,Square Milage,Transportation,Percentage White,Percentage Black,Percentage Hispanic or Latino ,Median Income,Unemployment Rate ,Food Stamps ,Rate Limited food access,Number of Grocery Stores,Diabetes Rate
33355.00,2.98,17.80,14.90,3.40,80.90,50384.00,13.40,21.50,13.00,4.00,13.00
55628.00,3.49,24.60,3.60,46.10,48.10,33122.00,21.90,38.40,5.80,12.00,16.80
35505.00,3.15,37.70,0.80,91.70,6.10,27399.00,33.60,43.90,29.80,11.00,12.10
30654.00,3.09,45.50,0.80,94.90,2.90,19854.00,35.30,53.50,13.70,8.00,12.40
32602.00,3.56,42.20,1.30,96.40,1.20,31120.00,23.90,39.90,23.30,7.00,12.00
41081.00,4.87,15.50,11.70,47.90,37.80,63573.00,12.80,17.10,19.20,3.00,7.20
48743.00,3.77,33.00,0.60,96.70,1.30,35890.00,23.60,33.30,10.70,11.00,14.00
20032.00,3.20,22.50,57.80,33.80,5.80,90766.00,6.60,3.10,8.80,1.00,7.20
26493.00,2.14,24.90,0.60,96.00,1.20,25390.00,18.60,25.50,22.50,2.00,9.20
19093.00,2.73,8.80,82.70,3.10,11.00,89536.00,4.40,3.70,4.70,3.00,4.00
22544.00,3.19,16.50,33.50,55.60,8.30,88321.00,11.20,16.20,12.60,7.00,13.20
12756.00,32.47,14.80,67.80,1.80,18.10,66741.00,8.00,11.40,24.10,1.00,5.00
56521.00,1.71,53.80,55.20,13.70,16.40,46174.00,6.90,12.50,1.60,11.00,9.80
