Population,Square Milage,Transportation,Percentage White,Percentage Black,Percentage Hispanic or Latino ,Median Income,Unemployment Rate ,Food Stamps ,Rate Limited Food Access,Percent with Easy Access to Food ,Number of Grocery Stores,Adult Obesity Percentage ,Diabetes Rate
55628,3.49,24.6,3.6,46.1,48.1,33122,21.9,38.4,5.8,53.9,12,41.6,16.8
35505,3.15,37.7,0.8,91.7,6.1,27399,33.6,43.9,29.8,60.9,11,50.7,12.1
30654,3.09,45.5,0.8,94.9,2.9,19854,35.3,53.5,13.7,54.5,8,40.7,12.4
32602,3.56,42.2,1.3,96.4,1.2,31120,23.9,39.9,23.3,56.8,7,40.6,12
41081,4.87,15.5,11.7,47.9,37.8,63573,12.8,17.1,19.2,75.1,3,36.4,7.2
48743,3.77,33,0.6,96.7,1.3,35890,23.6,33.3,10.7,65,11,42.3,14
20032,3.2,22.5,57.8,33.8,5.8,90766,6.6,3.1,8.8,86.2,1,32.6,7.2
26493,2.14,24.9,0.6,96,1.2,25390,18.6,25.5,22.5,59.5,2,31.8,9.2
19093,2.73,8.8,82.7,3.1,11,89536,4.4,3.7,4.7,82.6,3,17.1,4
22544,3.19,16.5,33.5,55.6,8.3,88321,11.2,16.2,12.6,73.2,7,40.5,13.2
12756,32.47,14.8,67.8,1.8,18.1,66741,8,11.4,24.1,74.4,1,25.4,5
56521,1.71,53.8,55.2,13.7,16.4,46174,6.9,12.5,1.6,84.9,11,24.7,9.8
